SOOJUSM.SRY	Soojusmasin
ELEKTROL.SRY	Elektrolüüs
ELVOOLGS.SRY	Elektrivool gaasides
TRIOOD.SRY	Vaakumtriood
ELTORU.SRY	Elektronkiirte toru
TRANSIST.SRY	Transistor
FOTOEFKT.SRY	Fotoefekt
SEOSEENG.SRY	Seoseenergia
AHELRKTS.SRY	Ahelreaktsioon
TERMOTM.SRY	Termotuumareaktsioon
MASSISPK.SRY	Massispektromeeter
RADIOLAG.SRY	Radioaktiivne lagunemine
GRAVITY.SRY	Gravitatsioon
POORLTK.SRY	Pöörlemisteljega keha tasakaal
KEHATK.SRY	Keha tasakaal
KEHAKRNT.SRY	Keha koordinaat
LIIKMGRA.SRY	Liikumisgraafik
KIIRUSGR.SRY	Kiiruse graafik
KIIRUSKE.SRY	Kiirus, keskmine kiirus
VABALANG.SRY	Vaba langemine, vertikaalselt visatud keha liikumine
LIIKRSKJ.SRY	Liikumine raskusjõu mõjul
YHTLRING.SRY	Ühtlane ringliikumine
H66RDL.SRY	Hõõrdumisega liikumine
LIIKHORP.SRY	Liikumine horisontaalsel pinnal
LIIKKLDP.SRY	Liikumine kaldpinnal
SEOTUDKL.SRY	Seotud kehade liikumine
ELAENGV.SRY	Elektrilaengud, elektriväli
TASAPGL.SRY	Tasapeegel
T##ELV.SRY	Töö elektriväljas
KONDENSR.SRY	Kondensaator
JUHTIDEY.SRY	Juhtide ühendusviisid
ELEKTMET.SRY	Elektrivool metallides
J6UDIMP.SRY	Jõud ja impulss
JAAVUSSD.SRY	Jäävusseadused
IMPULSJS.SRY	Impulsi jäävuse seadus
VALGMRD.SRY	Valguse murdumisseadus
VALGDISP.SRY	Valguse dispersioon
GAASAHLK.SRY	Gaas. Ainehulk
TAHKEKH.SRY	Tahke keha
GAASROHK.SRY	Gaasi rõhk
R6HKVEDL.SRY	Rõhk vedelikus. Üleslükkejõud
DYNAMOMT.SRY	Dünamomeeter. Keha kaal
VEDRUPND.SRY	Vedrupendel
AGREGAOM.SRY	Agregaatolekute muutumine
MATPENDL.SRY	Matemaatiline pendel
TAKVOOLS.SRY	Takistus. Voolu soojuslik toime
TERMD1S.SRY	Termodünaamika 1. seadus
VOOLUAES.SRY	Vooluallika elektromotoorjõud ja sisetakistus
VAHELDVV.SRY	Vahelduvvool
VOOLURMM.SRY	Vooluraam magnetväljas
KOONDLTS.SRY	Koondav lääts
SOOJTSKV.SRY	Soojusliku tasakaalu võrrand
GAASOLKV.SRY	Gaasi olekuvõrrand
GAASMKRP.SRY	Gaasi makro- ja mikroparameetrid
ISOBAARP.SRY	Isobaariline protsess
ISOTERMP.SRY	Isotermiline protsess
RINGPROT.SRY	Ringprotsess
ISOHOORP.SRY	Isohooriline protsess
ADIABPR.SRY	Adiabaatiline protsess
VAHLDGNR.SRY	Vahelduvvoolu generaator
OHUROHK.SRY	Õhurõhk. Õhuniiskus
PINDPINV.SRY	Pindpinevus. Kapillaarsus
BOHRATOM.SRY	Bohri aatomi teooria
VALGDFRI.SRY	Valguse difraktsioon ja interferents
ELEKTVV.SRY	Elektromagnetiline vabavõnkumine
OHMSVVR.SRY	Ohmi seadus vahelduvvooluringis
WILSONIK.SRY	Wilsoni kamber
IMPMOM.SRY	Impulsimoment
Laine.sry	Laine

